KEY_CODE,HYOSYO,CITYNAME,MOJI,HTKSYORI,HTKSAKI,GASSAN,住宅に住む一般世帯,持ち家,民営借家
131190010,2,板橋区,板橋,,,,14187,4916,7989
13119001001,3,板橋区,板橋１丁目,,,,4491,1523,2337
13119001002,3,板橋区,板橋２丁目,,,,3687,1062,2252
13119001003,3,板橋区,板橋３丁目,,,,3127,1284,1688
13119001004,3,板橋区,板橋４丁目,,,,2882,1047,1712
131190020,2,板橋区,加賀,,,,3645,2486,641
13119002001,3,板橋区,加賀１丁目,,,,1479,1149,101
13119002002,3,板橋区,加賀２丁目,,,,2166,1337,540
131190030,2,板橋区,大山東町,,,,3510,1374,1970
131190040,2,板橋区,大山金井町,,,,3230,1182,1924
131190050,2,板橋区,熊野町,,,,2223,1155,1004
131190060,2,板橋区,中丸町,,,,3329,1698,1427
131190070,2,板橋区,南町,,,,2658,1265,1256
131190080,2,板橋区,稲荷台,,,,1406,502,669
131190090,2,板橋区,仲宿,,,,4158,2071,1910
131190100,2,板橋区,氷川町,,,,2505,950,1307
131190110,2,板橋区,栄町,,,,2229,1034,948
131190120,2,板橋区,大山町,,,,2738,1087,1525
131190130,2,板橋区,大山西町,,,,2423,945,1344
131190140,2,板橋区,幸町,,,,2752,987,1248
131190150,2,板橋区,中板橋,,,,2325,868,1407
131190160,2,板橋区,仲町,,,,2229,817,1341
131190170,2,板橋区,弥生町,,,,3077,1218,1750
131190180,2,板橋区,本町,,,,3639,1408,2033
131190190,2,板橋区,大和町,,,,2841,1050,1717
131190200,2,板橋区,双葉町,,,,2882,1062,1579
131190210,2,板橋区,富士見町,,,,2232,878,904
131190220,2,板橋区,大谷口上町,,,,2105,1019,974
131190230,2,板橋区,大谷口北町,,,,2902,1552,1219
131190240,2,板橋区,大谷口,,,,3075,1372,1581
13119024001,3,板橋区,大谷口１丁目,,,,1119,473,610
13119024002,3,板橋区,大谷口２丁目,,,,1956,899,971
131190250,2,板橋区,向原,,,,4281,970,2415
13119025001,3,板橋区,向原１丁目,,,,1230,348,818
13119025002,3,板橋区,向原２丁目,,,,1648,421,1130
13119025003,3,板橋区,向原３丁目,,,,1403,201,467
131190260,2,板橋区,小茂根,,,,8357,3241,4659
13119026001,3,板橋区,小茂根１丁目,,,,2733,823,1571
13119026002,3,板橋区,小茂根２丁目,,,,2088,906,1145
13119026003,3,板橋区,小茂根３丁目,,,,1219,702,495
13119026004,3,板橋区,小茂根４丁目,,,,1804,589,1167
13119026005,3,板橋区,小茂根５丁目,,,,513,221,281
131190270,2,板橋区,常盤台,,,,6553,2863,3249
13119027001,3,板橋区,常盤台１丁目,,,,2398,1134,1134
13119027002,3,板橋区,常盤台２丁目,,,,1047,543,444
13119027003,3,板橋区,常盤台３丁目,,,,1681,730,889
13119027004,3,板橋区,常盤台４丁目,,,,1427,456,782
131190280,2,板橋区,南常盤台,,,,4137,1539,2410
13119028001,3,板橋区,南常盤台１丁目,,,,2258,762,1400
