KEY_CODE,HYOSYO,CITYNAME,MOJI,HTKSYORI,HTKSAKI,GASSAN,主世帯数,一戸建,長屋建,共同住宅,共同住宅１・２階建,共同住宅３～５階建,共同住宅６～１０階建,共同住宅１１階建以上,その他
131190010,2,板橋区,板橋,,,,14032,2161,26,11819,1105,4174,2592,3948,26
13119001001,3,板橋区,板橋１丁目,,,,4452,297,4,4142,155,1118,1050,1819,9
13119001002,3,板橋区,板橋２丁目,,,,3662,375,4,3276,192,847,1058,1179,7
13119001003,3,板橋区,板橋３丁目,,,,3078,843,9,2220,365,1052,359,444,6
13119001004,3,板橋区,板橋４丁目,,,,2840,646,9,2181,393,1157,125,506,4
131190020,2,板橋区,加賀,,,,3634,127,7,3499,111,369,749,2270,1
13119002001,3,板橋区,加賀１丁目,,,,1475,51,4,1419,38,109,469,803,1
13119002002,3,板橋区,加賀２丁目,,,,2159,76,3,2080,73,260,280,1467,
131190030,2,板橋区,大山東町,,,,3466,433,18,3010,280,1105,667,958,5
131190040,2,板橋区,大山金井町,,,,3176,613,6,2552,409,1055,676,412,5
131190050,2,板橋区,熊野町,,,,2184,324,5,1853,82,413,613,745,2
131190060,2,板橋区,中丸町,,,,3285,577,18,2683,303,868,824,688,7
131190070,2,板橋区,南町,,,,2629,698,9,1917,328,820,496,273,5
131190080,2,板橋区,稲荷台,,,,1390,425,8,956,268,289,146,253,1
131190090,2,板橋区,仲宿,,,,4110,1078,26,2999,484,1182,415,918,7
131190100,2,板橋区,氷川町,,,,2486,443,7,2033,148,835,519,531,3
131190110,2,板橋区,栄町,,,,2185,607,9,1564,279,818,467,,5
131190120,2,板橋区,大山町,,,,2710,448,22,2232,271,976,360,625,8
131190130,2,板橋区,大山西町,,,,2388,668,17,1700,598,552,332,218,3
131190140,2,板橋区,幸町,,,,2726,739,10,1969,467,809,305,388,8
131190150,2,板橋区,中板橋,,,,2296,487,7,1797,379,1156,129,133,5
131190160,2,板橋区,仲町,,,,2205,658,10,1536,496,795,245,,1
131190170,2,板橋区,弥生町,,,,3047,940,11,2092,551,1008,405,128,4
131190180,2,板橋区,本町,,,,3604,675,10,2917,262,979,881,795,2
131190190,2,板橋区,大和町,,,,2810,797,7,2002,357,663,429,553,4
131190200,2,板橋区,双葉町,,,,2853,756,17,2076,510,1300,266,,4
131190210,2,板橋区,富士見町,,,,2217,635,12,1569,406,579,212,372,1
131190220,2,板橋区,大谷口上町,,,,2074,789,20,1261,482,373,195,211,4
131190230,2,板橋区,大谷口北町,,,,2868,959,17,1885,405,980,443,57,7
131190240,2,板橋区,大谷口,,,,3031,1190,13,1823,901,849,73,,5
13119024001,3,板橋区,大谷口１丁目,,,,1096,465,7,623,339,278,6,,1
13119024002,3,板橋区,大谷口２丁目,,,,1935,725,6,1200,562,571,67,,4
131190250,2,板橋区,向原,,,,4246,599,20,3625,1016,1677,932,,2
13119025001,3,板橋区,向原１丁目,,,,1219,186,5,1027,236,705,86,,1
13119025002,3,板橋区,向原２丁目,,,,1630,307,15,1307,695,512,100,,1
13119025003,3,板橋区,向原３丁目,,,,1397,106,,1291,85,460,746,,
131190260,2,板橋区,小茂根,,,,8274,1900,28,6340,1236,3276,1653,175,6
13119026001,3,板橋区,小茂根１丁目,,,,2702,395,13,2292,371,1301,541,79,2
13119026002,3,板橋区,小茂根２丁目,,,,2069,596,5,1468,278,781,313,96,
13119026003,3,板橋区,小茂根３丁目,,,,1213,242,,970,43,345,582,,1
13119026004,3,板橋区,小茂根４丁目,,,,1783,443,8,1330,321,792,217,,2
13119026005,3,板橋区,小茂根５丁目,,,,507,224,2,280,223,57,,,1
131190270,2,板橋区,常盤台,,,,6454,2145,25,4276,1278,2391,325,282,8
13119027001,3,板橋区,常盤台１丁目,,,,2372,811,11,1547,469,742,128,208,3
13119027002,3,板橋区,常盤台２丁目,,,,1031,457,3,570,274,212,10,74,1
13119027003,3,板橋区,常盤台３丁目,,,,1648,556,8,1083,320,642,121,,1
13119027004,3,板橋区,常盤台４丁目,,,,1403,321,3,1076,215,795,66,,3
131190280,2,板橋区,南常盤台,,,,4091,616,12,3458,293,1753,1261,151,5
13119028001,3,板橋区,南常盤台１丁目,,,,2232,285,6,1938,109,735,943,151,3
13119028002,3,板橋区,南常盤台２丁目,,,,1859,331,6,1520,184,1018,318,,2
131190290,2,板橋区,東新町,,,,4772,1386,30,3354,952,1552,734,116,2
13119029001,3,板橋区,東新町１丁目,,,,2664,569,11,2082,493,972,501,116,2
13119029002,3,板橋区,東新町２丁目,,,,2108,817,19,1272,459,580,233,,
131190300,2,板橋区,上板橋,,,,5105,873,16,4213,763,2067,1137,246,3
13119030001,3,板橋区,上板橋１丁目,,,,1199,309,4,886,302,355,201,28,
13119030002,3,板橋区,上板橋２丁目,,,,2642,350,8,2282,334,1094,636,218,2
13119030003,3,板橋区,上板橋３丁目,,,,1264,214,4,1045,127,618,300,,1
131190310,2,板橋区,清水町,,,,3613,889,9,2713,370,816,590,937,2
131190320,2,板橋区,蓮沼町,,,,2851,879,16,1953,546,811,439,157,3
131190330,2,板橋区,大原町,,,,2066,428,1,1634,347,405,384,498,3
131190340,2,板橋区,泉町,,,,1716,549,10,1154,511,340,303,,3
131190350,2,板橋区,宮本町,,,,2998,818,13,2164,600,956,157,451,3
131190360,2,板橋区,志村,,,,6361,897,28,5426,589,1474,2272,1091,10
13119036001,3,板橋区,志村１丁目,,,,2682,435,6,2236,280,514,1071,371,5
