KEY_CODE,HYOSYO,CITYNAME,MOJI,HTKSYORI,HTKSAKI,GASSAN,一般世帯数（世帯人員６人以上含む）,世帯人員１人,世帯人員２人,世帯人員３人,世帯人員４人,世帯人員５人,一般世帯人員,１世帯当たり人員
131190010,2,板橋区,板橋,,,,14486,9150,2974,1354,782,178,23485,1.6212204887
13119001001,3,板橋区,板橋１丁目,,,,4519,2800,1030,416,232,31,7254,1.6052223943
13119001002,3,板橋区,板橋２丁目,,,,3802,2551,714,308,181,37,5882,1.547080484
13119001003,3,板橋区,板橋３丁目,,,,3183,1887,665,341,201,69,5519,1.7338988376
13119001004,3,板橋区,板橋４丁目,,,,2982,1912,565,289,168,41,4830,1.6197183099
131190020,2,板橋区,加賀,,,,3949,1576,884,754,616,107,8683,2.1987845024
13119002001,3,板橋区,加賀１丁目,,,,1542,386,435,385,280,51,3818,2.4760051881
13119002002,3,板橋区,加賀２丁目,,,,2407,1190,449,369,336,56,4865,2.0211882011
131190030,2,板橋区,大山東町,,,,3565,2261,703,343,196,50,5813,1.6305750351
131190040,2,板橋区,大山金井町,,,,3255,2030,640,322,205,51,5396,1.6577572965
131190050,2,板橋区,熊野町,,,,2294,1250,509,327,169,35,4128,1.7994768963
131190060,2,板橋区,中丸町,,,,3363,1857,695,450,273,72,6147,1.8278322926
131190070,2,板橋区,南町,,,,2670,1572,555,301,186,41,4625,1.7322097378
131190080,2,板橋区,稲荷台,,,,1467,774,242,177,215,49,2954,2.0136332652
131190090,2,板橋区,仲宿,,,,4183,2254,952,530,345,79,7672,1.8340903658
131190100,2,板橋区,氷川町,,,,2533,1511,501,275,184,53,4398,1.7362810896
131190110,2,板橋区,栄町,,,,2273,1287,483,274,163,52,4072,1.7914650242
131190120,2,板橋区,大山町,,,,2750,1589,591,349,168,45,4766,1.7330909091
131190130,2,板橋区,大山西町,,,,2507,1524,514,259,159,37,4238,1.6904666933
131190140,2,板橋区,幸町,,,,2764,1413,703,343,227,52,5184,1.8755426918
131190150,2,板橋区,中板橋,,,,2333,1427,474,254,146,28,3886,1.6656665238
131190160,2,板橋区,仲町,,,,2303,1417,445,231,150,45,3918,1.7012592271
131190170,2,板橋区,弥生町,,,,3108,1837,607,355,225,64,5463,1.7577220077
131190180,2,板橋区,本町,,,,3665,2140,747,411,287,63,6434,1.7555252387
131190190,2,板橋区,大和町,,,,2848,1729,548,320,179,55,4884,1.7148876404
131190200,2,板橋区,双葉町,,,,2948,1736,593,313,232,61,5177,1.7561058345
131190210,2,板橋区,富士見町,,,,2276,1296,533,271,135,34,3927,1.7253954306
131190220,2,板橋区,大谷口上町,,,,2134,1127,489,287,169,44,3978,1.8641049672
131190230,2,板橋区,大谷口北町,,,,2925,1353,714,455,308,68,5894,2.015042735
131190240,2,板橋区,大谷口,,,,3115,1635,718,398,279,73,5825,1.8699839486
13119024001,3,板橋区,大谷口１丁目,,,,1154,622,258,152,95,22,2120,1.8370883882
13119024002,3,板橋区,大谷口２丁目,,,,1961,1013,460,246,184,51,3705,1.8893421724
131190250,2,板橋区,向原,,,,4294,2298,1058,556,307,58,7704,1.7941313461
13119025001,3,板橋区,向原１丁目,,,,1238,598,307,187,116,26,2391,1.9313408724
13119025002,3,板橋区,向原２丁目,,,,1653,1064,307,155,97,22,2691,1.6279491833
13119025003,3,板橋区,向原３丁目,,,,1403,636,444,214,94,10,2622,1.868852459
131190260,2,板橋区,小茂根,,,,8450,4499,1845,1099,789,176,15781,1.8675739645
13119026001,3,板橋区,小茂根１丁目,,,,2768,1702,553,288,173,39,4639,1.6759393064
13119026002,3,板橋区,小茂根２丁目,,,,2099,1050,490,284,206,56,4066,1.9371129109
13119026003,3,板橋区,小茂根３丁目,,,,1226,429,320,256,187,27,2764,2.2544861338
13119026004,3,板橋区,小茂根４丁目,,,,1836,1081,362,194,156,37,3233,1.7608932462
13119026005,3,板橋区,小茂根５丁目,,,,521,237,120,77,67,17,1079,2.0710172745
131190270,2,板橋区,常盤台,,,,6661,3758,1391,773,555,143,12054,1.8096381925
13119027001,3,板橋区,常盤台１丁目,,,,2459,1361,526,287,215,58,4499,1.8296055307
13119027002,3,板橋区,常盤台２丁目,,,,1061,584,222,138,87,19,1955,1.8426013195
13119027003,3,板橋区,常盤台３丁目,,,,1696,948,350,196,157,35,3102,1.829009434
13119027004,3,板橋区,常盤台４丁目,,,,1445,865,293,152,96,31,2498,1.7287197232
131190280,2,板橋区,南常盤台,,,,4236,2703,804,407,254,53,6906,1.6303116147
13119028001,3,板橋区,南常盤台１丁目,,,,2268,1524,404,186,115,28,3556,1.5679012346
13119028002,3,板橋区,南常盤台２丁目,,,,1968,1179,400,221,139,25,3350,1.7022357724
131190290,2,板橋区,東新町,,,,4859,2461,1042,714,497,113,9448,1.9444330109
13119029001,3,板橋区,東新町１丁目,,,,2720,1572,532,318,241,45,4859,1.7863970588
13119029002,3,板橋区,東新町２丁目,,,,2139,889,510,396,256,68,4589,2.1453950444
131190300,2,板橋区,上板橋,,,,5212,3018,1138,603,351,82,9040,1.7344589409
13119030001,3,板橋区,上板橋１丁目,,,,1225,724,261,139,78,18,2096,1.7110204082
13119030002,3,板橋区,上板橋２丁目,,,,2699,1540,559,344,202,47,4776,1.7695442757
13119030003,3,板橋区,上板橋３丁目,,,,1288,754,318,120,71,17,2168,1.6832298137
131190310,2,板橋区,清水町,,,,3668,2102,733,480,279,60,6513,1.7756270447
131190320,2,板橋区,蓮沼町,,,,2938,1727,598,338,202,59,5129,1.745745405
131190330,2,板橋区,大原町,,,,2236,1094,486,332,268,50,4421,1.9771914132
131190340,2,板橋区,泉町,,,,1772,1004,329,220,168,39,3266,1.8431151242
131190350,2,板橋区,宮本町,,,,3056,1819,589,332,227,65,5376,1.7591623037
131190360,2,板橋区,志村,,,,6594,3261,1667,907,595,134,12550,1.9032453746
13119036001,3,板橋区,志村１丁目,,,,2776,1451,664,360,240,52,5134,1.8494236311
13119036002,3,板橋区,志村２丁目,,,,2004,825,541,352,231,45,4172,2.0818363273
13119036003,3,板橋区,志村３丁目,,,,1814,985,462,195,124,37,3244,1.7883131202
131190370,2,板橋区,坂下,,,,9102,3743,2560,1546,994,210,18836,2.0694352889
13119037001,3,板橋区,坂下１丁目,,,,2984,1488,770,400,253,55,5627,1.8857238606
13119037002,3,板橋区,坂下２丁目,,,,2669,1023,744,460,350,74,5774,2.1633570626
13119037003,3,板橋区,坂下３丁目,,,,3449,1232,1046,686,391,81,7435,2.1556973036
131190380,2,板橋区,東坂下,,,,1656,658,460,296,188,46,3496,2.1111111111
13119038001,3,板橋区,東坂下１丁目,,,,997,342,274,218,132,27,2231,2.2377131394
13119038002,3,板橋区,東坂下２丁目,,,,659,316,186,78,56,19,1265,1.9195751138
131190390,2,板橋区,小豆沢,,,,7402,3563,1803,1134,721,150,14399,1.9452850581
13119039001,3,板橋区,小豆沢１丁目,,,,2013,1068,462,278,173,31,3679,1.827620467
13119039002,3,板橋区,小豆沢２丁目,,,,2529,1047,661,449,296,60,5302,2.0964808225
13119039003,3,板橋区,小豆沢３丁目,,,,937,479,265,118,63,8,1679,1.7918890075
13119039004,3,板橋区,小豆沢４丁目,,,,1923,969,415,289,189,51,3739,1.9443577743
131190400,2,板橋区,西台,,,,5655,2234,1412,955,778,211,12510,2.2122015915
13119040001,3,板橋区,西台１丁目,,,,1316,613,306,198,136,44,2704,2.0547112462
13119040002,3,板橋区,西台２丁目,,,,1798,729,431,310,237,72,3952,2.1979977753
13119040003,3,板橋区,西台３丁目,,,,1621,641,406,257,228,70,3611,2.227637261
13119040004,3,板橋区,西台４丁目,,,,920,251,269,190,177,25,2243,2.4380434783
131190410,2,板橋区,中台,,,,7759,3345,2087,1213,862,200,15934,2.0536151566
13119041001,3,板橋区,中台１丁目,,,,2894,1503,671,362,261,75,5488,1.8963372495
13119041002,3,板橋区,中台２丁目,,,,1796,945,340,258,193,49,3488,1.9420935412
13119041003,3,板橋区,中台３丁目,,,,3069,897,1076,593,408,76,6958,2.2671880091
131190420,2,板橋区,若木,,,,4974,2258,1264,757,521,134,10074,2.025331725
13119042001,3,板橋区,若木１丁目,,,,1895,758,489,347,222,62,4084,2.1551451187
13119042002,3,板橋区,若木２丁目,,,,2048,1104,521,222,154,31,3688,1.80078125
13119042003,3,板橋区,若木３丁目,,,,1031,396,254,188,145,41,2302,2.2327837051
131190430,2,板橋区,蓮根,,,,8437,3667,2307,1282,912,214,17186,2.0369799692
13119043001,3,板橋区,蓮根１丁目,,,,1481,751,332,199,152,33,2875,1.9412559082
13119043002,3,板橋区,蓮根２丁目,,,,3684,1652,980,525,409,95,7439,2.0192725299
13119043003,3,板橋区,蓮根３丁目,,,,3272,1264,995,558,351,86,6872,2.1002444988
131190440,2,板橋区,相生町,,,,1931,696,492,373,291,69,4370,2.2630761264
131190450,2,板橋区,前野町,,,,14152,6006,3474,2404,1802,375,29816,2.1068400226
13119045001,3,板橋区,前野町１丁目,,,,2278,951,602,384,263,63,4767,2.0926251097
13119045002,3,板橋区,前野町２丁目,,,,3315,1331,823,630,448,67,7092,2.1393665158
13119045003,3,板橋区,前野町３丁目,,,,2642,1100,582,413,445,84,5816,2.2013626041
13119045004,3,板橋区,前野町４丁目,,,,1934,884,480,295,211,49,3915,2.0243019648
13119045005,3,板橋区,前野町５丁目,,,,1627,683,366,300,211,51,3513,2.1591886908
13119045006,3,板橋区,前野町６丁目,,,,2356,1057,621,382,224,61,4713,2.0004244482
131190460,2,板橋区,赤塚,,,,16362,8779,3420,2080,1564,396,30862,1.8861997311
13119046001,3,板橋区,赤塚１丁目,,,,2014,1014,466,294,188,39,3858,1.915590864
13119046002,3,板橋区,赤塚２丁目,,,,3091,1783,632,353,250,60,5486,1.7748301521
13119046003,3,板橋区,赤塚３丁目,,,,3201,2170,519,276,180,41,5054,1.5788815995
13119046004,3,板橋区,赤塚４丁目,,,,2150,1046,523,308,203,53,4198,1.9525581395
13119046005,3,板橋区,赤塚５丁目,,,,1687,789,357,251,205,66,3523,2.0883224659
13119046006,3,板橋区,赤塚６丁目,,,,2091,1042,465,272,234,58,4143,1.981348637
13119046007,3,板橋区,赤塚７丁目,,,,1734,825,363,257,214,53,3579,2.0640138408
13119046008,3,板橋区,赤塚８丁目,,,,394,110,95,69,90,26,1021,2.5913705584
131190470,2,板橋区,赤塚新町,,,,5036,2612,1164,713,434,92,9403,1.8671564734
13119047001,3,板橋区,赤塚新町１丁目,,,,734,467,141,72,39,11,1200,1.6348773842
13119047002,3,板橋区,赤塚新町２丁目,,,,1126,681,205,140,82,15,1933,1.71669627
13119047003,3,板橋区,赤塚新町３丁目,,,,3176,1464,818,501,313,66,6270,1.9741813602
131190480,2,板橋区,四葉,,,,1884,643,489,330,304,96,4449,2.3614649682
13119048001,3,板橋区,四葉１丁目,,,,1106,490,266,166,126,47,2328,2.1048824593
13119048002,3,板橋区,四葉２丁目,,,,778,153,223,164,178,49,2121,2.7262210797
131190490,2,板橋区,大門,,,,360,86,87,85,70,25,968,2.6888888889
131190500,2,板橋区,三園,,,,3087,1471,595,488,415,96,6404,2.0745059929
13119050001,3,板橋区,三園１丁目,,,,2607,1251,486,406,359,86,5427,2.081703107
13119050002,3,板橋区,三園２丁目,,,,480,220,109,82,56,10,977,2.0354166667
131190510,2,板橋区,成増,,,,14939,7839,3356,1993,1400,289,27963,1.8718120356
13119051001,3,板橋区,成増１丁目,,,,3480,1663,860,540,353,54,6747,1.9387931034
13119051002,3,板橋区,成増２丁目,,,,2796,1590,600,305,246,47,4972,1.7782546495
13119051003,3,板橋区,成増３丁目,,,,4014,2162,831,562,383,61,7442,1.8540109616
13119051004,3,板橋区,成増４丁目,,,,2737,1538,536,333,237,79,5039,1.8410668615
13119051005,3,板橋区,成増５丁目,,,,1912,886,529,253,181,48,3763,1.9680962343
131190520,2,板橋区,徳丸,,,,16433,7144,3847,2701,2054,565,34738,2.113917118
13119052001,3,板橋区,徳丸１丁目,,,,3559,1909,780,451,320,85,6615,1.8586681652
13119052002,3,板橋区,徳丸２丁目,,,,2224,1162,549,290,169,45,4087,1.8376798561
13119052003,3,板橋区,徳丸３丁目,,,,3518,1501,877,602,426,93,7349,2.0889710063
