KEY_CODE,HYOSYO,CITYNAME,MOJI,HTKSYORI,HTKSAKI,GASSAN,一般世帯総数,　親族世帯,　核家族世帯,　　うち夫婦のみの世帯,　　うち夫婦と子供から成る世帯,　核家族以外の世帯,６歳未満親族のいる一般世帯総数,１８歳未満親族のいる一般世帯総数,６５歳以上親族のいる一般世帯総数
131190010,2,板橋区,板橋,,,,14486,5070,4699,1990,1875,371,655,1406,3427
13119001001,3,板橋区,板橋１丁目,,,,4519,1610,1510,688,565,100,210,445,957
13119001002,3,板橋区,板橋２丁目,,,,3802,1191,1108,480,417,83,134,309,804
13119001003,3,板橋区,板橋３丁目,,,,3183,1244,1139,441,496,105,171,369,883
13119001004,3,板橋区,板橋４丁目,,,,2982,1025,942,381,397,83,140,283,783
131190020,2,板橋区,加賀,,,,3949,2352,2275,713,1346,77,463,1044,809
13119002001,3,板橋区,加賀１丁目,,,,1542,1146,1106,364,647,40,264,487,356
13119002002,3,板橋区,加賀２丁目,,,,2407,1206,1169,349,699,37,199,557,453
131190030,2,板橋区,大山東町,,,,3565,1221,1112,452,480,109,171,340,852
131190040,2,板橋区,大山金井町,,,,3255,1154,1057,414,453,97,145,350,880
131190050,2,板橋区,熊野町,,,,2294,1006,919,320,436,87,140,315,526
131190060,2,板橋区,中丸町,,,,3363,1443,1345,470,655,98,252,507,895
131190070,2,板橋区,南町,,,,2670,1048,977,377,435,71,129,303,708
131190080,2,板橋区,稲荷台,,,,1467,688,623,161,371,65,87,245,438
131190090,2,板橋区,仲宿,,,,4183,1879,1702,651,775,177,272,568,1344
131190100,2,板橋区,氷川町,,,,2533,986,925,353,435,61,196,352,551
131190110,2,板橋区,栄町,,,,2273,945,863,292,386,82,110,261,827
131190120,2,板橋区,大山町,,,,2750,1118,1032,397,446,86,194,357,720
131190130,2,板橋区,大山西町,,,,2507,953,865,323,344,88,100,245,750
131190140,2,板橋区,幸町,,,,2764,1307,1189,413,480,118,146,365,1043
131190150,2,板橋区,中板橋,,,,2333,880,799,299,337,81,138,273,678
131190160,2,板橋区,仲町,,,,2303,863,783,307,336,80,122,254,732
131190170,2,板橋区,弥生町,,,,3108,1234,1109,382,512,125,215,396,945
131190180,2,板橋区,本町,,,,3665,1491,1363,498,633,128,228,478,939
131190190,2,板橋区,大和町,,,,2848,1077,950,347,420,127,124,277,927
131190200,2,板橋区,双葉町,,,,2948,1177,1096,401,496,81,160,368,944
131190210,2,板橋区,富士見町,,,,2276,954,871,320,333,83,97,223,933
131190220,2,板橋区,大谷口上町,,,,2134,989,897,327,405,92,126,268,833
131190230,2,板橋区,大谷口北町,,,,2925,1544,1426,474,686,118,175,478,992
131190240,2,板橋区,大谷口,,,,3115,1448,1320,508,602,128,159,405,943
13119024001,3,板橋区,大谷口１丁目,,,,1154,521,468,183,217,53,62,128,371
13119024002,3,板橋区,大谷口２丁目,,,,1961,927,852,325,385,75,97,277,572
131190250,2,板橋区,向原,,,,4294,1941,1791,724,793,150,359,593,1184
13119025001,3,板橋区,向原１丁目,,,,1238,624,568,206,275,56,119,200,311
13119025002,3,板橋区,向原２丁目,,,,1653,564,513,213,231,51,90,164,339
13119025003,3,板橋区,向原３丁目,,,,1403,753,710,305,287,43,150,229,534
131190260,2,板橋区,小茂根,,,,8450,3826,3570,1252,1739,256,548,1298,1991
13119026001,3,板橋区,小茂根１丁目,,,,2768,1028,959,368,406,69,129,306,624
13119026002,3,板橋区,小茂根２丁目,,,,2099,1011,916,317,440,95,147,320,564
13119026003,3,板橋区,小茂根３丁目,,,,1226,787,757,248,420,30,117,301,311
13119026004,3,板橋区,小茂根４丁目,,,,1836,723,674,238,327,49,103,256,387
13119026005,3,板橋区,小茂根５丁目,,,,521,277,264,81,146,13,52,115,105
131190270,2,板橋区,常盤台,,,,6661,2815,2555,906,1159,260,359,852,2120
13119027001,3,板橋区,常盤台１丁目,,,,2459,1076,996,355,447,80,147,351,712
13119027002,3,板橋区,常盤台２丁目,,,,1061,468,426,155,200,42,44,118,408
13119027003,3,板橋区,常盤台３丁目,,,,1696,714,639,207,305,75,88,214,557
13119027004,3,板橋区,常盤台４丁目,,,,1445,557,494,189,207,63,80,169,443
131190280,2,板橋区,南常盤台,,,,4236,1482,1373,505,587,109,180,437,1055
13119028001,3,板橋区,南常盤台１丁目,,,,2268,724,666,259,265,58,77,206,525
13119028002,3,板橋区,南常盤台２丁目,,,,1968,758,707,246,322,51,103,231,530
131190290,2,板橋区,東新町,,,,4859,2338,2184,697,1115,154,339,808,1461
13119029001,3,板橋区,東新町１丁目,,,,2720,1115,1045,373,512,70,170,377,752
13119029002,3,板橋区,東新町２丁目,,,,2139,1223,1139,324,603,84,169,431,709
131190300,2,板橋区,上板橋,,,,5212,2099,1919,718,823,180,240,579,1594
13119030001,3,板橋区,上板橋１丁目,,,,1225,476,421,150,181,55,66,143,370
13119030002,3,板橋区,上板橋２丁目,,,,2699,1120,1040,359,485,80,121,317,826
13119030003,3,板橋区,上板橋３丁目,,,,1288,503,458,209,157,45,53,119,398
131190310,2,板橋区,清水町,,,,3668,1528,1403,528,674,125,346,528,980
131190320,2,板橋区,蓮沼町,,,,2938,1177,1076,380,482,101,132,296,923
131190330,2,板橋区,大原町,,,,2236,1122,1056,362,568,66,174,434,543
131190340,2,板橋区,泉町,,,,1772,749,691,228,361,58,111,264,542
131190350,2,板橋区,宮本町,,,,3056,1203,1096,389,504,107,145,369,855
131190360,2,板橋区,志村,,,,6594,3257,3081,1200,1392,176,425,1011,2113
13119036001,3,板橋区,志村１丁目,,,,2776,1288,1213,473,552,75,151,388,871
13119036002,3,板橋区,志村２丁目,,,,2004,1164,1109,418,540,55,155,389,632
13119036003,3,板橋区,志村３丁目,,,,1814,805,759,309,300,46,119,234,610
131190370,2,板橋区,坂下,,,,9102,5283,4969,1769,2307,314,755,1706,3427
13119037001,3,板橋区,坂下１丁目,,,,2984,1475,1382,532,583,93,169,428,1140
13119037002,3,板橋区,坂下２丁目,,,,2669,1612,1513,477,733,99,206,544,951
13119037003,3,板橋区,坂下３丁目,,,,3449,2196,2074,760,991,122,380,734,1336
131190380,2,板橋区,東坂下,,,,1656,980,920,313,453,60,177,366,544
13119038001,3,板橋区,東坂下１丁目,,,,997,646,605,189,320,41,131,260,287
13119038002,3,板橋区,東坂下２丁目,,,,659,334,315,124,133,19,46,106,257
131190390,2,板橋区,小豆沢,,,,7402,3770,3555,1288,1719,215,643,1317,2157
13119039001,3,板橋区,小豆沢１丁目,,,,2013,934,900,320,429,34,171,347,546
13119039002,3,板橋区,小豆沢２丁目,,,,2529,1453,1353,478,681,100,287,530,771
13119039003,3,板橋区,小豆沢３丁目,,,,937,449,428,200,160,21,57,114,294
13119039004,3,板橋区,小豆沢４丁目,,,,1923,934,874,290,449,60,128,326,546
131190400,2,板橋区,西台,,,,5655,3365,3104,947,1614,261,471,1156,2004
13119040001,3,板橋区,西台１丁目,,,,1316,696,627,195,300,69,103,232,513
13119040002,3,板橋区,西台２丁目,,,,1798,1050,969,302,506,81,163,373,624
13119040003,3,板橋区,西台３丁目,,,,1621,963,893,267,472,70,128,321,580
13119040004,3,板橋区,西台４丁目,,,,920,656,615,183,336,41,77,230,287
131190410,2,板橋区,中台,,,,7759,4342,4080,1509,1920,262,484,1255,2968
13119041001,3,板橋区,中台１丁目,,,,2894,1356,1247,440,564,109,174,399,969
13119041002,3,板橋区,中台２丁目,,,,1796,832,776,229,419,56,122,309,450
13119041003,3,板橋区,中台３丁目,,,,3069,2154,2057,840,937,97,188,547,1549
131190420,2,板橋区,若木,,,,4974,2679,2505,850,1195,174,369,846,1874
13119042001,3,板橋区,若木１丁目,,,,1895,1126,1058,348,557,68,185,384,653
13119042002,3,板橋区,若木２丁目,,,,2048,923,858,321,328,65,95,236,843
