HYOSYO,CITYNAME.x,MOJI,　　うち夫婦のみの世帯,　　うち夫婦と子供から成る世帯,　核家族以外の世帯,６歳未満親族のいる一般世帯総数,１８歳未満親族のいる一般世帯総数,６５歳以上親族のいる一般世帯総数,持ち家,民営借家
2,板橋区,板橋,1990,1875,371,655,1406,3427,4916,7989
3,板橋区,板橋１丁目,688,565,100,210,445,957,1523,2337
3,板橋区,板橋２丁目,480,417,83,134,309,804,1062,2252
3,板橋区,板橋３丁目,441,496,105,171,369,883,1284,1688
3,板橋区,板橋４丁目,381,397,83,140,283,783,1047,1712
2,板橋区,加賀,713,1346,77,463,1044,809,2486,641
3,板橋区,加賀１丁目,364,647,40,264,487,356,1149,101
3,板橋区,加賀２丁目,349,699,37,199,557,453,1337,540
2,板橋区,大山東町,452,480,109,171,340,852,1374,1970
2,板橋区,大山金井町,414,453,97,145,350,880,1182,1924
2,板橋区,熊野町,320,436,87,140,315,526,1155,1004
2,板橋区,中丸町,470,655,98,252,507,895,1698,1427
2,板橋区,南町,377,435,71,129,303,708,1265,1256
2,板橋区,稲荷台,161,371,65,87,245,438,502,669
2,板橋区,仲宿,651,775,177,272,568,1344,2071,1910
2,板橋区,氷川町,353,435,61,196,352,551,950,1307
2,板橋区,栄町,292,386,82,110,261,827,1034,948
2,板橋区,大山町,397,446,86,194,357,720,1087,1525
2,板橋区,大山西町,323,344,88,100,245,750,945,1344
2,板橋区,幸町,413,480,118,146,365,1043,987,1248
2,板橋区,中板橋,299,337,81,138,273,678,868,1407
2,板橋区,仲町,307,336,80,122,254,732,817,1341
2,板橋区,弥生町,382,512,125,215,396,945,1218,1750
2,板橋区,本町,498,633,128,228,478,939,1408,2033
2,板橋区,大和町,347,420,127,124,277,927,1050,1717
2,板橋区,双葉町,401,496,81,160,368,944,1062,1579
2,板橋区,富士見町,320,333,83,97,223,933,878,904
2,板橋区,大谷口上町,327,405,92,126,268,833,1019,974
2,板橋区,大谷口北町,474,686,118,175,478,992,1552,1219
2,板橋区,大谷口,508,602,128,159,405,943,1372,1581
3,板橋区,大谷口１丁目,183,217,53,62,128,371,473,610
3,板橋区,大谷口２丁目,325,385,75,97,277,572,899,971
2,板橋区,向原,724,793,150,359,593,1184,970,2415
3,板橋区,向原１丁目,206,275,56,119,200,311,348,818
3,板橋区,向原２丁目,213,231,51,90,164,339,421,1130
3,板橋区,向原３丁目,305,287,43,150,229,534,201,467
2,板橋区,小茂根,1252,1739,256,548,1298,1991,3241,4659
3,板橋区,小茂根１丁目,368,406,69,129,306,624,823,1571
3,板橋区,小茂根２丁目,317,440,95,147,320,564,906,1145
3,板橋区,小茂根３丁目,248,420,30,117,301,311,702,495
3,板橋区,小茂根４丁目,238,327,49,103,256,387,589,1167
3,板橋区,小茂根５丁目,81,146,13,52,115,105,221,281
2,板橋区,常盤台,906,1159,260,359,852,2120,2863,3249
3,板橋区,常盤台１丁目,355,447,80,147,351,712,1134,1134
